loss,accuracy,val_loss,val_accuracy
0.000987137435004115,0.8800527453422546,0.00030084067839197814,0.9448747038841248
0.0003135652223136276,0.935949981212616,0.00031751886126585305,0.9420273303985596
0.0003013908863067627,0.9387814998626709,0.00027454705559648573,0.9486332535743713
0.00029086819267831743,0.9408318400382996,0.0002906131849158555,0.9487471580505371
0.0002803218085318804,0.9435169100761414,0.00039912978536449373,0.9373576045036316
0.00027500130818225443,0.9445421099662781,0.00025929335970431566,0.943507969379425
0.0002701982157304883,0.9474223852157593,0.00024888201733119786,0.9431663155555725
0.00026230866205878556,0.9474712014198303,0.0002458749513607472,0.9504556059837341
0.0002610665396787226,0.947080671787262,0.0002471971674822271,0.951252818107605
0.0002586687041912228,0.9475688338279724,0.00025027611991390586,0.9452164173126221
